Course_name,Course_Type,Start_time,End_time,Locations,Staffs
Statistics for Computer Scientists,Hoorcollege,2024-12-06 13:15:00,2024-12-06 15:00:00,Lecture Hall - C3,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Statistics for Computer Scientists,Werkcollege,2024-12-06 15:15:00,2024-12-06 17:00:00,Gorlaeus Building - BW.0.40,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Automata Theory,Hoorcollege,2024-12-09 11:00:00,2024-12-09 12:45:00,Lecture Hall - C3,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Software Development,Hoorcollege,2024-12-09 13:15:00,2024-12-09 15:00:00,Lecture Hall - C3,"Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Software Development,Werkcollege,2024-12-09 15:15:00,2024-12-09 17:00:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Human-Agent Interaction,Hoorcollege,2024-12-10 09:00:00,2024-12-10 10:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Symbolic AI,Hoorcollege,2024-12-10 11:00:00,2024-12-10 12:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Human-Agent Interaction,Werkcollege,2024-12-11 09:00:00,2024-12-11 10:45:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - BW.0.39","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-12-12 15:15:00,2024-12-12 17:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.26","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-12-12 17:15:00,2024-12-12 19:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.26","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-12-13 09:00:00,2024-12-13 10:45:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - DM.0.09-PC","Broekens, D.J.(Joost)"
Automata Theory,Werkcollege,2024-12-13 11:00:00,2024-12-13 12:45:00,Gorlaeus Building - BW.0.40,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Statistics for Computer Scientists,Hoorcollege,2024-12-13 13:15:00,2024-12-13 15:00:00,Lecture Hall - C3,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Statistics for Computer Scientists,Werkcollege,2024-12-13 15:15:00,2024-12-13 17:00:00,Gorlaeus Building - BW.0.40,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Automata Theory,Hoorcollege,2024-12-17 13:15:00,2024-12-17 15:30:00,"Gorlaeus Building - BW.0.31, Gorlaeus Building - BW.0.32","Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Automata Theory,Tentamen,2024-12-19 09:00:00,2024-12-19 12:30:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - BM.1.33, Gorlaeus Building - EM.1.09, Lecture Hall - C3, Lecture Hall - C4/5","Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Symbolic AI,Digitaal,2025-01-13 13:00:00,2025-01-13 16:00:00,Universitair Sportcentrum - Hal,"Broekens, D.J.(Joost)"
Symbolic AI,Digitaal,2025-01-13 13:00:00,2025-01-13 16:30:00,Universitair Sportcentrum - Multif,"Broekens, D.J.(Joost)"
Software Development,Digitaal,2025-01-15 13:00:00,2025-01-15 15:00:00,Universitair Sportcentrum - Hal,"Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Software Development,Digitaal,2025-01-15 13:00:00,2025-01-15 15:30:00,Universitair Sportcentrum - Hal,"Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Statistics for Computer Scientists,Tentamen,2025-01-17 09:00:00,2025-01-17 12:30:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.33, Gorlaeus Building - CM.1.26, Lecture Hall - C1, Lecture Hall - C3","Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
